,stock,epoch,train_loss,valid_loss
0,LMT,62,1.2085993148502894e-06,7.941368949104799e-07
1,BAH,88,1.4081482504479936e-06,9.241733778253547e-07
2,NOC,55,1.8641367205418646e-06,1.4388435829459922e-06
3,HII,95,2.2691804133501137e-06,2.1451762677315855e-06
4,MLI,94,3.878911684296327e-06,2.7820253762911307e-06
5,STLD,38,3.303658104414353e-06,2.9003670078964205e-06
6,NFE,67,7.068566901580198e-06,4.862328296439955e-06
7,AR,5,,
8,FTI,5,,
9,PBR,5,,
