,stock,epoch,train_loss,valid_loss
0,LMT,57,1.2291062603253522e-06,8.572648084737011e-07
1,BAH,61,1.4286866871771053e-06,9.35637331167527e-07
2,NOC,71,1.5727558775324724e-06,1.0053605592474923e-06
3,HII,100,2.152125944121508e-06,1.981150035135215e-06
4,STLD,46,3.3105836791946786e-06,2.441190190438647e-06
5,MLI,92,3.777079200517619e-06,2.856065520973061e-06
6,AR,59,5.587231044046348e-06,4.60430192106287e-06
7,NFE,53,7.129339337552665e-06,4.9393884182791226e-06
8,FTI,5,,
9,PBR,5,,
